"","bonica_rid","donor_age","count"
"1","comm136416",76,38918
"2","comm136416",68,36529
"3","comm6904",73,817533
"4","comm6904",68,685657
"5","comm6904",69,728403
"6","cand972",71,36934
"7","comm6904",64,469742
"8","comm6904",65,517213
"9","comm140232",75,3818
"10","cand151811",65,162584
"11","comm134283",66,113903
"12","comm7886",55,132222
"13","cand142567",63,2553
"14","comm6904",60,317031
"15","cand143451",79,7608
"16","cand280",78,196
"17","comm6904",50,126766
"18","comm24091",64,25550
"19","cand151811",67,189675
"20","cand137579",70,49019
"21","comm7886",69,479932
"22","cand134662",41,35
"23","comm136777",41,1382
"24","cand1583",71,89907
"25","cand151847",69,10987
"26","comm7206",70,454694
"27","cand1494",71,528
"28","cand132239",81,19702
"29","cand151811",81,78896
"30","cand1616",81,697
"31","comm138460",81,212
"32","comm6904",81,404666
"33","comm6904",82,355979
"34","cand151811",44,50796
"35","cand144733",63,36
"36","cand104841",73,12423
"37","comm7886",72,542344
"38","comm6904",75,763121
"39","comm121859",76,356424
"40","comm121859",77,336413
"41","cand1581",55,2068
"42","cand1592",55,1004
"43","cand999",82,7325
"44","comm193160",81,106798
"45","cand1561",82,2592
"46","cand103327",75,26430
"47","comm121859",74,384952
"48","comm6904",44,74881
"49","comm7886",54,121573
"50","cand1544",71,48811
"51","comm121859",75,365995
"52","comm134283",75,192922
"53","cand137579",27,1783
"54","cand151811",49,63370
"55","comm11528",49,647
"56","cand140574",48,20
"57","comm136416",67,33562
"58","cand132239",61,12035
"59","cand103327",67,37573
"60","comm130274",67,2057
"61","cand123916",96,23
"62","comm121859",79,271876
"63","comm121859",80,235696
"64","cand144627",82,2623
"65","comm10257",80,10
"66","comm11584",80,127
"67","cand1235",83,34760
"68","cand140700",84,725
"69","cand1503",38,582
"70","cand132239",72,31873
"71","cand132239",73,33573
"72","cand40569",72,6187
"73","cand999",72,17206
"74","comm120227",72,46379
"75","comm121859",72,381764
"76","comm121859",73,392897
"77","comm134283",72,196114
"78","comm136416",72,44178
"79","comm183490",73,70700
"80","comm6904",62,383932
"81","comm148603",27,7648
"82","comm6904",67,638896
"83","comm24091",76,48955
"84","cand1584",72,51350
"85","comm7206",73,464132
"86","cand999",55,6176
"87","cand142572",74,3537
"88","comm7206",65,331475
"89","cand141109",35,1210
"90","comm6904",58,257467
"91","comm6904",59,287150
"92","cand760",76,93026
"93","comm6904",71,812916
"94","cand972",67,26838
"95","comm140385",52,1213
"96","cand141535",55,661
"97","comm6904",47,99744
"98","comm6904",48,107245
"99","cand151811",71,217329
"100","cand104841",54,6626
"101","cand140763",55,23061
"102","cand151811",47,56242
"103","cand151847",47,2670
"104","cand140862",61,26038
"105","cand143195",61,438
"106","cand1235",47,103930
"107","cand999",47,3269
"108","cand140742",82,646
"109","cand103327",61,26193
"110","cand151811",61,118636
"111","comm142288",78,115
"112","comm10963",62,31227
"113","cand151811",76,159877
"114","cand140862",77,12163
"115","cand978",77,2889
"116","comm7886",77,443618
"117","comm7206",77,335552
"118","cand441",77,9442
"119","cand142505",50,10
"120","cand140669",43,1091
"121","cand1592",50,663
"122","cand143446",75,265756
"123","cand141640",35,11
"124","cand151811",34,49109
"125","comm138033",34,1102
"126","comm138033",35,1179
"127","comm11871",75,11841
"128","comm11871",76,10843
"129","comm2262",76,25636
"130","cand103327",66,35924
"131","cand142740",66,4902
"132","cand144627",66,5678
"133","comm139402",65,253
"134","cand139798",70,23
"135","cand151811",70,219507
"136","comm1737",76,62345
"137","cand104635",70,51113
"138","cand139796",41,36
"139","comm6904",52,151196
"140","comm6904",61,348902
"141","comm136777",82,501
"142","comm6904",38,54265
"143","cand104841",39,3583
"144","cand141205",29,127
"145","cand141723",29,927
"146","comm2262",73,30558
"147","comm7206",74,438163
"148","comm139263",69,347
"149","comm139263",73,355
"150","cand103327",71,39354
"151","cand140681",72,3434
"152","cand141239",67,18954
"153","cand104635",72,52005
"154","cand141239",64,16575
"155","comm6904",74,794869
"156","cand103327",69,38775
"157","comm121859",82,190021
"158","cand1026",63,66
"159","cand223228",63,47013
"160","comm24091",63,22324
"161","comm6904",63,427762
"162","comm7886",64,310665
"163","comm6904",66,572908
"164","comm7886",65,337236
"165","cand1544",93,3279
"166","comm7206",93,17806
"167","cand103327",36,20750
"168","cand104635",37,9411
"169","cand104841",37,3445
"170","cand1235",37,189422
"171","cand132239",36,2032
"172","cand134794",36,45
"173","cand137579",37,4485
"174","cand139796",36,33
"175","cand140539",37,810
"176","cand140598",37,1011
"177","cand140763",37,8394
"178","cand140786",36,120
"179","cand140862",36,14089
"180","cand141078",37,1077
"181","cand142042",37,728
"182","cand143233",37,6
"183","cand143446",36,72374
"184","cand143446",37,75843
"185","cand151811",36,52099
"186","cand151847",36,1574
"187","cand1544",36,2802
"188","cand1583",36,3809
"189","cand1592",36,282
"190","cand280",36,28
"191","cand49515",37,79
"192","cand972",36,2386
"193","cand982",37,896
"194","comm121859",36,15296
"195","comm121859",37,15785
"196","comm148603",37,11484
"197","comm148607",37,1280
"198","comm193160",36,6981
"199","comm2262",36,2540
"200","comm6904",35,42191
"201","comm6904",36,47142
"202","comm7886",36,31053
"203","comm7886",37,32951
"204","cand146299",37,7640
"205","cand140862",71,31409
"206","cand142746",71,10821
"207","comm7886",80,299041
"208","cand140536",56,1865
"209","comm6904",76,703061
"210","comm7886",75,508285
"211","comm7886",76,478442
"212","cand103327",32,18503
"213","cand140862",68,30591
"214","cand141602",68,65316
"215","cand441",68,14291
"216","cand999",67,15318
"217","cand1596",47,2009
"218","cand142746",66,8705
"219","cand999",48,3701
"220","cand140539",65,2111
"221","cand1503",64,2582
"222","cand143947",74,1541
"223","cand1584",54,8044
"224","cand151811",28,30776
"225","cand141602",55,29657
"226","comm16371",67,37920
"227","comm7064",67,11260
"228","comm6904",56,218010
"229","cand140862",64,27916
"230","comm7206",38,62327
"231","cand140862",47,17031
"232","cand141712",47,902
"233","comm121859",47,26235
"234","comm7886",47,62476
"235","cand999",80,9825
"236","cand104841",53,5590
"237","comm136416",57,11927
"238","comm6904",80,461825
"239","cand104841",60,9437
"240","cand972",59,11247
"241","comm135457",55,3155
"242","cand1544",72,48800
"243","comm11871",56,2974
"244","comm11871",55,2802
"245","comm139707",44,4263
"246","comm17332",43,153
"247","cand140020",41,14
"248","cand40348",87,956
"249","comm140385",87,2306
"250","cand140862",51,16016
"251","cand999",69,16747
"252","comm6904",54,179985
"253","cand104841",27,1233
"254","comm7462",27,95
"255","cand128075",60,4555
"256","comm7329",60,2281
"257","comm121859",71,369110
"258","cand143446",79,155233
"259","cand41950",66,3991
"260","cand142452",67,45
"261","cand151811",37,53414
