committee_name,committee_id,bonica_rid,treasurer_name
CAMPAIGN FOR DEMOCRACY COMMITTEE,C00836346,comm208501,"COBIA, LINDSEY"
MURPHY MOBILIZATION FUND,C00904417,comm167538,"KYRIACOPOULOS, JANICA"
VOTEVETS,C00418897,comm21928,"DONAHUE, HAL"
EQUALITY CALIFORNIA VOTES,C00701797,comm148006,"DAVIDSON, CARY"
SMP,C00484642,comm24091,JEFFREY FORBES
DEMOCRATIC DEFENSE FUND,C00778381,comm199999,"MAY, JENNIFER"
FORWARD BLUE,C00835041,comm208419,"AUSTIN, DAVID"
BLUE SENATE PAC,C00743641,comm151771,"JANELLI, STEVEN"
DEFENSE DEM PAC,C00721225,comm150710,"PETTERSON, JAY"
314 ACTION FUND,C00633248,comm139983,"MORROW, JOSHUA"
"DEMOCRATIC POWER, INC.",C00827253,comm208104,"BEGUN, JEREMY"
PAC TO THE FUTURE,C00344234,comm18876,PAUL PELOSI
DEMOCRATIC VOTERS PAC,C00816868,comm205494,"HAGGARD, LORA"
HOLLYWOODDEMOCRATS.COM,C00833129,comm208209,"EISENBERG, BENJAMIN"
WIN BLUE USA,C00895847,comm207313,"BEGUN, JEREMY"
DEMOCRATS WIN SEATS (DWS PAC),C00425470,comm22138,"WASSERMAN, LAWRENCE"
FORGING PROGRESS PAC,C00901496,comm164082,"KOOB, CHRIS"
WHEN DEMOCRATS TURN OUT PAC,C00669960,comm144351,"MAY, JENNIFER"
RED TO BLUE CA,C00635391,comm140232,"PETTERSON, JAY"
FAIR SHOT PAC,C00574970,comm122646,"MARTIN, GEMMA W."
BLUE AMP ACTION PAC,C00852400,comm209301,"PETTERSON, JAY"
DEMOCRATS WHO WIN,C00853481,comm209344,"FOUCART, BRIAN"
DEMS WIN US,C00894253,comm205744,"MONTOYA, DACEY"
"DEMOCRATIC MAJORITY, INC",C00781039,comm200661,"BEGUN, JEREMY"
DEMS 2025,C00906586,comm168188,"KOOB, CHRIS"
FIGHT FOR PROGRESS PAC,C00716670,comm149522,"MAY, JENNIFER"
DEM TURNOUT 2024,C00889808,comm157902,"PASCAL, HARRY"
PAF,C00754069,comm153899,"LO, ANDY"
DEMOCRACY WINS,C00878728,comm210451,"PETTERSON, JAY"
STOP GOP GOVERNORS PAC,C00633404,comm139994,"PASCAL, HARRY"
NATIONAL DEMOCRATS,C00887323,comm153528,"JESKE, ETHAN"
TURN LEFT PAC,C00839894,comm208674,"HALL, STEVEN"
VOTER PROTECTION PROJECT,C00692319,comm147644,"PETTERSON, JAY"
SPEAK UP PAC,C00885137,comm149358,"MYLES, JOSH"
NO SURRENDER FUND,C00895607,comm207247,"DEFEO, MICHAEL"
END CITIZENS UNITED,C00573261,comm122544,"FOUCART, BRIAN"
EDF ACTION VOTES,C00707844,comm149229,"PRATT, JACK"
DEMOCRATIC VALUES,C00829903,comm208289,"MAY, JENNIFER"
ELECT BLACK DEMOCRATS,C00781674,comm200680,"MAY, JENNIFER"
HOUSE MAJORITY PAC,C00495028,comm24634,"ROCHE, SHANNON"
WILL OF THE PEOPLE PAC,C00858936,comm209559,"KOOB, CHRIS"
LET AMERICA VOTE PAC,C00632398,comm117670,"RAKOV, ABE"
