"bonica_rid","hvv_total","mean_age","pct_65_plus","pct_75_plus","ratio_u40_o75","high_volume_vendor_pct","political_spending_pct","fundraising_spending_pct","consulting_spending_pct","overhead_spending_pct","payroll_spending_pct","admin_ops_spending_pct","other_political_spending_pct","other_consulting_spending_pct","ie_spending_pct","cand_contrib_spending_pct","cand_support_pct","transfer_out_pct","listaq_pct","list_data_spending","overlap_pct_weighted","overlap_donations_pct_weighted","fundraising_inefficiency","fundraising_inefficiency_full","pct_spam_donations_100plus","pct_spam_donations_10plus_distinct","pct_spam_either_100n_10d","pct_overall_donations_100plus","pct_overall_donations_10plus_distinct","pct_overall_either_100n_10d","n_spam_donations_100plus","n_spam_donations_10plus_distinct","refund_rate","total_donors","total_donations","n_refunds","log_n_refunds","total_indv_contribs","total_fundraising","total_fundraising_consulting","total_other_consulting","total_payroll","total_admin_ops","total_other_political","candidate_contributions","independent_expenditures","total_raised","mean_donations_per_donor","pct_donors_repeat","pct_raised_repeat","pct_donors_high_freq","pct_raised_high_freq","total_receipts","total_disbursements_fec","cash_on_hand","cycles_included","committee_name","fec_committee_id","cmte_type","cmte_state","party"
"comm6904",133487131.8,70.31491216,0.762795204,0.385649298,4.132411515,0.094146366,0.093657498,0.173383173,0.020841962,0.299045052,0.127081818,0.171840851,0.092366281,0.020817277,0.244136363,0.001835641,0.001835641,0.081017551,0.008451519,15837098.39,0.198419809,0.218438996,0.509610928,0.312730284,0.306977583,0.4186158,0.445141087,0.684740079,0.726406939,0.800841422,6395959,8637544,0.03,3210107,22457620,461828,13.04294997,546965246,245834473.9,35000,29516153.58,180185258.7,243647664.7,130963205.1,2602696.86,346153166.8,763420149.1,6.468097179,0.054431328,0.221555043,0.003660203,0.044844322,1460423214,1417868124,49237334.18,"2018, 2020, 2022, 2024, 2026","dccc","C00000935","Y","DC",100
"comm7886",73480863.97,69.59216576,0.741223049,0.363978066,3.766586352,0.067639602,0.143932637,0.185172705,0.015350026,0.176677945,0.079595999,0.100071524,0.143830815,0.015330082,0.197049196,0.002220607,0.002220607,0.121084321,0.006881462,7958187.83,0.189341868,0.221689468,0.462828044,0.301820509,0.253090693,0.371786349,0.387927901,0.534570349,0.664581255,0.698392542,3626528,5322105,0.097967139,3655002,15163171,336698,12.72694464,469709245,201163961.1,21666.08,16653966.87,86469797.87,108713561.2,156251842.9,2412375.91,214066089,672989720.3,4.483922091,0.026412018,0.150027924,0.000936087,0.017749782,1104831312,1086358602,21771538.56,"2018, 2020, 2022, 2024, 2026","dscc","C00042366","Y","DC",100
"comm7206",110222998.7,66.44613433,0.64764551,0.278657042,2.437366534,0.061116856,0.152138591,0.189386746,0.037980452,0.278806138,0.148399204,0.129929417,0.130483452,0.037588532,0,3.14749e-05,3.1534e-05,0.231740036,0.005813701,8325169.65,0.143155271,0.141917832,0.731644389,0.445532037,0.130146143,0.230876963,0.242805865,0.438551836,0.601984543,0.632985019,1747039,3027255,0.020668808,4212252,13406466,87665,11.38128942,488172114.3,341555117.9,706819.76,67790146.66,267634925.4,234325041.7,235324233,56764.35,0,653139708.4,3.284298744,0.01392102,0.072447117,0.000150305,0.002612084,1803751932,1800197375,15220609.13,"2018, 2020, 2022, 2024, 2026","dnc services corp./dem. nat l committee","C00010603","Y","DC",100
"comm121859",83436609.3,71.70452734,0.813613434,0.437284658,4.837409825,0.272231693,0.137704783,0.323323961,0.007101791,0.476549394,0.315832513,0.16039002,0.134683526,0.007101791,0.041411073,0.021787644,0.025660531,0.014622938,0.000410453,714881.68,0.441049976,0.520095909,0.648882636,0.643881346,0.506878025,0.587998572,0.644134409,0.664198854,0.815242759,0.832920287,4996824,5573605,0.085283851,2056445,9558823,173087,12.06155541,159265678.2,99095938.1,0,2176636.29,96799875.49,49158124.41,41279311.08,6677720.52,12692128.15,162677784.8,4.258433238,0.02559119,0.252070908,0.002315104,0.067535702,277474012.1,249685002.3,28205589.62,"2018, 2020, 2022, 2024, 2026","progressive turnout project","C00580068","Q","IL",NA
"comm139994",45800266.78,71.02403505,0.793624018,0.405794897,4.592079582,0.272322555,0.014477798,0.312446706,0,0.28855175,0,0.28855175,0.014477798,0,0,2.97294e-05,2.97294e-05,0.305021599,0,0,0.449125231,0.527429946,0.377324656,0.389730342,0.503902458,0.592501239,0.644142081,0.672192874,0.828072845,0.8447671,4129158,4947164,0.08744845,1887777,8898221,131177,11.78431046,145285445.2,52548502.69,0,0,0,48529756.06,2434932.44,5000,0,147232166.2,4.445321182,0.025848914,0.25235479,0.002148055,0.063269844,147881440.2,147660623.3,873150.66,"2018, 2020, 2022, 2024, 2026","stop gop govenors pac","C00633404","V","IL",328
"comm122544",31916411.17,72.42323692,0.831256376,0.46141463,5.667923987,0.221346002,0.034864202,0.294389782,0.020348035,0.403560255,0.296929975,0.106487622,0.027554644,0.020348035,0.239338972,0.062090992,0.063112917,1.75224e-05,0.006330199,926702.74,0.401222634,0.517289278,0.437163887,0.470624524,0.654598141,0.656877232,0.76492976,0.81168307,0.885744559,0.920487547,4899994,4832469,0.09700961,1252393,7901183,130169,11.77659657,121221075.1,42448769.1,0,2934032.04,42815045.62,15354705.7,3973170.3,8953049.18,34510860.76,124315275.1,5.273436191,0.037037641,0.369333767,0.004318212,0.120040206,139195402.6,138922810.5,1088506.17,"2018, 2020, 2022, 2024, 2026","end citizens united","C00573261","Q","DC",NA
"comm193160",14981179.14,69.90633418,0.746862974,0.371968392,4.155335637,0.139561864,0.488933494,0.195472758,0.001631917,0.136670129,0,0.136670129,0.014491734,0.001631917,0,0.011236781,0.011426147,0,0.004158277,355698.25,0.22920387,0.255337102,0.22962739,0.223631557,0.253300209,0.381826765,0.394031685,0.466765994,0.621469534,0.646510745,1361774,2028791,0.025316817,1904155,5637423,49079,10.8012069,108762358,20982898.27,0,175177.04,0,14670767.63,1555605.88,1206205.1,0,110348640.6,3.115226582,0.011090316,0.120454641,0.00035299,0.012377085,116097959.7,105993982.4,12719027.97,"2018, 2020, 2022, 2024, 2026","democratic action","C00562983","N","DC",100
"comm134283",41957078.55,72.34831438,0.828850915,0.457582431,5.517905324,0.454599664,0.006036357,0.514845727,0.034514927,0.434421696,0.289096009,0.145079181,0.008083489,0.034514927,0,0.002593056,0.002908374,0.000109541,0.00315302,853191.59,0.4530075,0.53271585,0.830697477,0.846977663,0.557272679,0.644288159,0.698264733,0.715857492,0.853588946,0.870096445,2690436,3045429,0.010953031,1063427,4839224,9233,9.130647603,59974903.75,47517462.79,0,3185540.23,26681990.6,13390020.02,746062.12,239325,0,60731740.65,4.008375081,0.02241122,0.213007565,0.001629632,0.043280524,84297027.46,82159952.64,2611819.77,"2018, 2020, 2022, 2024, 2026","national democratic training committee pac","C00603084","V","DC",328
"comm10963",18492443.15,73.58629511,0.865043976,0.515833503,6.777847831,0.353820449,0.07169917,0.439854345,0.020882986,0.279246238,0.013343341,0.252196564,0.080905837,0.020862732,0.048925489,0.112307366,0.113648266,0,0,0,0.421410117,0.496371986,0.620669245,0.710199478,0.613566983,0.756469149,0.780551776,0.774253291,0.915847236,0.921310943,1803217,2168371,0.041886725,664661,2892142,29346,10.28694561,42033391.9,22989008.96,1058.58,1090391.7,697390.38,13181065.81,4228547.56,5869750,2557093.1,44354583.9,4.231520597,0.024472999,0.259775562,0.002454874,0.069713449,46894131.79,47088558.85,332344.82,"2018, 2020, 2022, 2024, 2026","congressional black caucus pac","C00147512","Q","DC",328
"comm24634",23725573.98,72.28439978,0.828781372,0.46514335,5.467114612,0.032860264,0.084584112,0.050599858,0.005243982,0.029153526,0.014981384,0.014051937,0.043420689,0.005159315,0.766039536,0.012247855,0.012247855,1.38501e-05,0,0,0.400506122,0.471944397,0.621912005,0.622099906,0.527951634,0.662246704,0.692458042,0.701142543,0.859148826,0.870883982,1439124,1733492,0.041602139,693765,2625012,32508,10.38927225,53146717.94,36533811.56,61130.44,3725098.35,10816770.83,10145696.97,31350350.15,8843124.17,553091350.9,123342401,3.741149787,0.019407305,0.132492135,0.001677905,0.029280981,767685393.7,722014106.1,46070602.64,"2018, 2020, 2022, 2024, 2026","house majority pac","C00495028","O","DC",100
