"donor_age","donation_count"
18,1571
19,3217
20,4645
21,6203
22,8392
23,11355
24,15018
25,17928
26,20811
27,23368
28,25956
29,28547
30,32205
31,33692
32,35464
33,36392
34,37318
35,37189
36,37570
37,37140
38,36858
39,36046
40,35378
41,34680
42,34035
43,32631
44,32002
45,30975
46,30071
47,29635
48,30081
49,31019
50,31472
51,31786
52,32985
53,34349
54,36234
55,38449
56,39877
57,40448
58,41835
59,44128
60,47574
61,50882
62,54088
63,58251
64,63399
65,67172
66,72827
67,79721
68,84878
69,88968
70,92954
71,94857
72,96069
73,95176
74,93748
75,86394
76,83276
77,79025
78,72671
79,60485
80,48859
81,44523
82,38329
83,30379
84,23996
85,18473
86,15707
87,12986
88,9491
89,7598
90,6250
91,5032
92,3822
93,2870
94,2114
95,1347
96,905
97,583
98,455
99,272
100,254
101,95
102,27
103,13
110,5
