"donor_age","donation_count"
18,2146
19,3612
20,5150
21,6982
22,8664
23,10723
24,12149
25,14341
26,16421
27,18552
28,20342
29,24230
30,26954
31,31856
32,33267
33,35702
34,39059
35,42191
36,47142
37,51647
38,54265
39,57153
40,60216
41,63885
42,67316
43,71144
44,74881
45,81705
46,91212
47,99744
48,107245
49,115819
50,126766
51,136448
52,151196
53,165333
54,179985
55,195874
56,218010
57,235959
58,257467
59,287150
60,317031
61,348902
62,383932
63,427762
64,469742
65,517213
66,572908
67,638896
68,685657
69,728403
70,776419
71,812916
72,820836
73,817533
74,794869
75,763121
76,703061
77,652541
78,595579
79,524721
80,461825
81,404666
82,355979
83,303371
84,257404
85,225494
86,191934
87,159263
88,133932
89,111854
90,92806
91,75990
92,57412
93,45553
94,33391
95,23860
96,16503
97,10274
98,6303
99,3171
100,1404
101,784
102,301
103,119
104,38
105,27
106,29
107,1
110,10
