"donor_age","donation_count"
18,1159
19,2194
20,3471
21,4037
22,5317
23,6900
24,8568
25,9166
26,10830
27,12231
28,14013
29,15778
30,17557
31,20087
32,21944
33,23031
34,25610
35,28680
36,31053
37,32951
38,34983
39,36684
40,39831
41,43726
42,46171
43,48170
44,50623
45,53004
46,57127
47,62476
48,67868
49,75605
50,85829
51,92706
52,100480
53,111676
54,121573
55,132222
56,145761
57,157626
58,173018
59,191311
60,208732
61,230654
62,254238
63,283928
64,310665
65,337236
66,377506
67,413251
68,448672
69,479932
70,509500
71,527127
72,542344
73,550693
74,533288
75,508285
76,478442
77,443618
78,404180
79,348322
80,299041
81,266230
82,231855
83,194496
84,164461
85,137676
86,115528
87,95211
88,78061
89,63388
90,51761
91,41449
92,33183
93,25333
94,18792
95,13408
96,8875
97,5776
98,3714
99,1970
100,1062
101,408
102,201
103,81
104,21
105,13
106,7
107,4
108,4
109,2
110,7
