"donor_age","donation_count"
18,9
19,103
20,135
21,126
22,234
23,230
24,246
25,319
26,326
27,409
28,400
29,483
30,481
31,610
32,655
33,734
34,748
35,787
36,909
37,1100
38,1170
39,1232
40,1282
41,1561
42,1542
43,1507
44,1811
45,1914
46,1864
47,2053
48,2085
49,2297
50,2578
51,2840
52,3217
53,4105
54,4926
55,5558
56,5977
57,6669
58,7070
59,8306
60,9639
61,11315
62,13132
63,15088
64,17489
65,20493
66,23354
67,27326
68,31407
69,35864
70,38956
71,42924
72,46144
73,48940
74,50784
75,50254
76,51635
77,50628
78,46964
79,40075
80,35649
81,33268
82,29402
83,26171
84,20404
85,17811
86,14730
87,12385
88,9976
89,8043
90,6282
91,4811
92,3933
93,3149
94,2497
95,1808
96,1078
97,974
98,566
99,327
100,124
101,71
102,29
103,20
107,1
110,2
