"","Name","bonica_rid","pct_age_65plus","N"
"1","fitzgerald, edward o donnell","cand170620",0.926559356136821,5964
"2","lujan, jp","cand211121",0.921161825726141,482
"3","kirkpatrick, ann leila","cand1029",0.910084213990048,917781
"4","sterbinsky, danielle","cand168215",0.908348457350272,5510
"5","miller, adam clay","cand195333",0.881048997637938,16511
"6","urrutia, christian","cand169716",0.879975505205144,14697
"7","blair, beau","cand169052",0.87701317715959,683
"8","montavon, matthew","cand218655",0.873913043478261,230
"9","stiles, wayne","cand164991",0.871402877697842,1112
"10","johnson, lee","cand170562",0.870014771048744,3385
"11","breslin, karen","cand215804",0.868924889543446,1358
"12","mcclinton, sakima","cand130290",0.866666666666667,105
"13","stichel, adele","cand174812",0.866310160427808,561
"14","houston, deric","cand218750",0.866013071895425,306
"15","garcia, johnny","cand174771",0.865932769805386,5087
"16","cox, amy","cand195151",0.862660325695345,6939
"17","aguirre, britta","cand169744",0.862439024390244,5125
"18","widmann, noah","cand167668",0.862248479176416,17096
"19","wood, jordan","cand167616",0.86222623667425,179352
"20","womer, zacheray","cand219601",0.859359052867932,4899
"21","dunlap, matt","cand174448",0.85834829443447,5570
"22","jones, gian a","cand219378",0.857965451055662,521
"23","lofgren, zoe","cand1341",0.85738255033557,39336
"24","breslin, karen","cand167581",0.85733070348455,4563
"25","kerr, joseph","cand216149",0.856334563345633,4065
"26","atkins, joey mendoza","cand169223",0.856287425149701,167
"27","allred, colin","cand180069",0.85579475081097,13564
"28","askins, kishla","cand170150",0.855643044619423,4191
"29","mills, janet trafton","cand175314",0.854669140383426,38808
"30","luria, elaine","cand176291",0.85334291876348,6955
"31","greene placentia, bernadette","cand218243",0.852724594992636,1358
"32","brink, bridget","cand169041",0.852552086122864,18671
"33","morales, jesus andy","cand218337",0.852266288951841,7060
"34","lorinser, robert james","cand211861",0.850876118122779,16322
"35","jeffries, hakeem","cand43832",0.850718173801101,986530
"36","peckarsky, peter","cand216339",0.849315068493151,146
"37","brown, sherrod","cand173656",0.849042196644357,195134
"38","bengs, brian","cand167738",0.848640915593705,3495
"39","brown, brandon","cand170561",0.848203711014607,5066
"40","neill, reilly","cand161907",0.847508807247106,1987
"41","adams falconer, thomas michael jr.","cand168220",0.847232472324723,1355
"42","virts, terry","cand176073",0.84705654155756,10311
"43","stevenson, pamela","cand217829",0.843780607247796,8168
"44","schlossberg, john (jack) bouvier kenne","cand175888",0.843102286688067,25233
"45","burrows, johnathon","cand218338",0.842645896828084,106308
"46","mcgrath, amy","cand175296",0.842233870649903,25373
"47","williamson, michael","cand171547",0.841708096590909,11264
"48","baker, dennis","cand216182",0.839166784752728,7057
"49","mitchell, ken","cand219914",0.838651414810355,1661
"50","chiaradio, michael alexis","cand174485",0.83741429970617,1021
"51","bailey, huy yen cam","cand218590",0.837132474397093,3027
"52","raskin, jamie","cand67983",0.83693155359372,255543
"53","spreitzer, jeremy","cand210773",0.836879432624113,423
"54","ford, justin","cand170036",0.836206896551724,116
"55","christian, jerrad shane","cand219501",0.835519486647164,10597
"56","schoengood, sarah","cand219249",0.834437086092715,151
"57","colom, scott","cand173652",0.83438670411985,8544
"58","hammer, trygve","cand188532",0.833973493892522,28899
"59","maasdam, matthew","cand169710",0.833706277234719,16982
"60","gendebien, blake","cand216474",0.833578647826514,10191
"61","aleman, katherine","cand170598",0.833333333333333,5166
"62","click, nathan","cand212208",0.83300198807157,1006
"63","allred, colin","cand169763",0.832648859852742,190414
"64","davis, morris d. col.","cand168276",0.832155477031802,2264
"65","kemp, patricia","cand218648",0.830704521556257,4755
"66","rains, matthew","cand175542",0.830114135206321,2278
"67","lerner, kari","cand218658",0.829411764705882,1190
"68","preston, jenna michalik","cand169980",0.829009433962264,848
"69","ford, earle","cand174396",0.82900196549465,4579
"70","elkind, liam","cand171508",0.828869047619048,4032
"71","bryce, randy","cand168337",0.828409090909091,1760
"72","weil, joshua joseph","cand160696",0.828068801839935,40871
"73","knapp, jason","cand174804",0.827977315689981,2645
"74","taylor, shannon leigh","cand173422",0.827700568540745,6332
"75","best, bryon l","cand219666",0.827488151658768,1055
"76","clark, jasmine","cand169015",0.827253668763103,9540
"77","willett, joel","cand173646",0.826826826826827,2997
"78","mendoza, joanna","cand216076",0.826493340248734,90619
"79","cuellar, ada","cand170623",0.826415910073498,4626
"80","craig, angie","cand167734",0.826404417469082,43826
"81","shaheen, stefany","cand168278",0.825739214735822,8252
"82","larriett, dakarai","cand167579",0.825278810408922,2690
"83","kaplan, anna","cand134805",0.825205318209786,37381
"84","harvie, robert j","cand167457",0.824953095684803,10660
"85","klobuchar, amy","cand1581",0.824420715116639,306887
"86","gray, hartzell","cand170065",0.824350808427242,4082
"87","lineberger, ernest robinson iii","cand219806",0.824261275272162,3858
"88","compton, william dakota","cand211694",0.824069352371239,1961
"89","galan woods, marlene","cand164556",0.822537616049514,9371
"90","guzman, elizabeth","cand203237",0.821725571725572,3848
