"","bonica_rid","donation_count","Name"
"1","comm121859",9558823,"progressive turnout project"
"2","comm139994",8898221,"stop republicans pac"
"3","comm122544",7901183,"end citizens united"
"4","comm134283",4839224,"national democratic training committee pac"
"5","comm10963",2892142,"congressional black caucus pac"
"6","comm24634",2625012,"house majority pac"
"7","comm142275",2482943,"progressive takeover"
"8","comm117670",2309407,"let america vote"
"9","comm146824",2239630,"elect democratic women"
"10","comm151950",1862236,"democratic strategy institute"
"11","comm16371",1753832,"ameripac: the fund for a greater america"
"12","comm139983",1676423,"314 action fund"
"13","comm183490",1671118,"equality pac"
"14","comm18876",1597186,"pac to the future"
"15","comm24063",1465773,"protecting america s retirees"
"16","comm24091",1337322,"senate majority pac"
"17","comm120227",1215166,"progressive action pac"
"18","comm146846",1198633,"medicare for all"
"19","comm21928",1051122,"votevets"
"20","comm147644",1041346,"protect the census"
